person,number_correct,number_of_items,correct_item_pair,unweighted_proportion_correct,correct_items,formula_weighted_raw_score,formula_max_total_score,weighted_raw_score,max_total_score,normalized_weighted_score,normalized_weighted_percent,minimum_achievable_total_score,maximum_achievable_total_score,maximum_is_true_maximum,normalization_status,scoring_model_status,score_type,response_item_very_easy,response_item_easy,response_item_medium_easy,response_item_medium_1,response_item_medium_2,response_item_medium_hard,response_item_hard,response_item_very_hard,response_item_high_disc,response_item_low_disc,response_item_noisy,response_item_reversed,response_item_constant_zero,response_item_constant_one,contribution_item_very_easy,contribution_item_easy,contribution_item_medium_easy,contribution_item_medium_1,contribution_item_medium_2,contribution_item_medium_hard,contribution_item_hard,contribution_item_very_hard,contribution_item_high_disc,contribution_item_low_disc,contribution_item_noisy,contribution_item_reversed,contribution_item_constant_zero,contribution_item_constant_one
"P011",6,14,"(6,14)",0.428571428571429,"easy|medium_easy|medium_1|high_disc|reversed|constant_one",12.1017310999787,38.8095406718576,12.1017310999787,38.8095406718576,0.311823610650309,31.1823610650309,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1.61745707411237,2.28672846067894,2.48911683282593,0,0,0,0,3.10064140075263,0,0,1.60778733160879,0,1
"P012",6,14,"(6,14)",0.428571428571429,"very_easy|medium_easy|medium_1|high_disc|low_disc|constant_one",12.2741885160123,38.8095406718576,12.2741885160123,38.8095406718576,0.316267296740071,31.6267296740071,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,0,0,0,0,1,1,0,0,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,0,0,0,0,3.10064140075263,2.02525592566951,0,0,0,1
"P013",9,14,"(9,14)",0.642857142857143,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|high_disc|low_disc|constant_one",19.9329354655748,38.8095406718576,19.9329354655748,38.8095406718576,0.513609156936737,51.3609156936737,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,1,1,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,3.10064140075263,2.02525592566951,0,0,0,1
"P014",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|hard|low_disc|noisy|constant_one",22.0009094417883,38.8095406718576,22.0009094417883,38.8095406718576,0.566894352803872,56.6894352803872,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,1,0,0,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,3.38871774411751,0,0,2.02525592566951,1.77989763284857,0,0,1
"P015",9,14,"(9,14)",0.642857142857143,"very_easy|medium_easy|medium_1|medium_hard|hard|high_disc|noisy|reversed|constant_one",20.1942770277308,38.8095406718576,20.1942770277308,38.8095406718576,0.520343108373208,52.0343108373208,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,0,1,1,0,1,0,1,1,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,0,3.16894172881322,3.38871774411751,0,3.10064140075263,0,1.77989763284857,1.60778733160879,0,1
"P016",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|hard|high_disc|reversed|constant_one",22.9041846156316,38.8095406718576,22.9041846156316,38.8095406718576,0.590168917722862,59.0168917722862,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,1,0,1,0,0,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,3.38871774411751,0,3.10064140075263,0,0,1.60778733160879,0,1
"P017",5,14,"(5,14)",0.357142857142857,"very_easy|medium_easy|medium_2|reversed|constant_one",9.13930983500993,38.8095406718576,9.13930983500993,38.8095406718576,0.235491316743082,23.5491316743082,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,0,1,0,0,0,0,0,0,1,0,1,1.37244589608524,0,2.28672846067894,0,2.87234814663697,0,0,0,0,0,0,1.60778733160879,0,1
"P018",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|medium_hard|high_disc|low_disc|constant_one",17.0605873189378,38.8095406718576,17.0605873189378,38.8095406718576,0.439597764456645,43.9597764456645,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,1,0,0,1,1,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,3.16894172881322,0,0,3.10064140075263,2.02525592566951,0,0,0,1
"P019",8,14,"(8,14)",0.571428571428571,"very_easy|medium_easy|medium_1|medium_hard|hard|high_disc|low_disc|constant_one",18.831847988943,38.8095406718576,18.831847988943,38.8095406718576,0.485237590111411,48.5237590111411,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,0,1,1,0,1,1,0,0,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,0,3.16894172881322,3.38871774411751,0,3.10064140075263,2.02525592566951,0,0,0,1
"P020",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|high_disc|low_disc|noisy|constant_one",21.7128330984234,38.8095406718576,21.7128330984234,38.8095406718576,0.559471530003658,55.9471530003658,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P021",7,14,"(7,14)",0.5,"very_easy|medium_1|hard|low_disc|noisy|reversed|constant_one",13.6632213631556,38.8095406718576,13.6632213631556,38.8095406718576,0.352058311606438,35.2058311606438,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,1,0,0,1,0,0,1,1,1,0,1,1.37244589608524,0,0,2.48911683282593,0,0,3.38871774411751,0,0,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P022",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_1|medium_hard|high_disc|low_disc|noisy|constant_one",16.5537564911075,38.8095406718576,16.5537564911075,38.8095406718576,0.426538325487353,42.6538325487353,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,1,0,1,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,0,2.48911683282593,0,3.16894172881322,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P023",9,14,"(9,14)",0.642857142857143,"very_easy|easy|medium_easy|medium_1|hard|high_disc|low_disc|noisy|constant_one",19.0602609670907,38.8095406718576,19.0602609670907,38.8095406718576,0.491123075334722,49.1123075334722,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,0,1,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,0,3.38871774411751,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P024",4,14,"(4,14)",0.285714285714286,"very_easy|easy|medium_easy|constant_one",6.27663143087655,38.8095406718576,6.27663143087655,38.8095406718576,0.161729083164027,16.1729083164027,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,0,0,0,0,0,0,0,0,0,1
"P025",4,14,"(4,14)",0.285714285714286,"easy|noisy|reversed|constant_one",6.00514203856973,38.8095406718576,6.00514203856973,38.8095406718576,0.154733654009059,15.4733654009059,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1.61745707411237,0,0,0,0,0,0,0,0,1.77989763284857,1.60778733160879,0,1
"P026",6,14,"(6,14)",0.428571428571429,"medium_easy|medium_2|high_disc|noisy|reversed|constant_one",12.6474029725259,38.8095406718576,12.6474029725259,38.8095406718576,0.325883861379917,32.5883861379917,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,2.28672846067894,0,2.87234814663697,0,0,0,3.10064140075263,0,1.77989763284857,1.60778733160879,0,1
"P027",6,14,"(6,14)",0.428571428571429,"very_easy|easy|medium_easy|high_disc|noisy|constant_one",11.1571704644778,38.8095406718576,11.1571704644778,38.8095406718576,0.287485249021983,28.7485249021983,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,0,0,0,0,1,0,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,0,0,0,0,3.10064140075263,0,1.77989763284857,0,0,1
"P028",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|medium_hard|high_disc|low_disc|constant_one",17.0605873189378,38.8095406718576,17.0605873189378,38.8095406718576,0.439597764456645,43.9597764456645,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,1,0,0,1,1,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,3.16894172881322,0,0,3.10064140075263,2.02525592566951,0,0,0,1
"P029",5,14,"(5,14)",0.357142857142857,"very_easy|medium_easy|medium_1|noisy|constant_one",8.92818882243869,38.8095406718576,8.92818882243869,38.8095406718576,0.230051391175389,23.0051391175389,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,0,0,0,0,0,0,1,0,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,0,0,0,0,0,0,1.77989763284857,0,0,1
"P030",3,14,"(3,14)",0.214285714285714,"very_easy|reversed|constant_one",3.98023322769403,38.8095406718576,3.98023322769403,38.8095406718576,0.102558112226777,10.2558112226777,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,0,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P031",5,14,"(5,14)",0.357142857142857,"very_easy|hard|low_disc|reversed|constant_one",9.39420689748105,38.8095406718576,9.39420689748105,38.8095406718576,0.242059213658593,24.2059213658593,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,0,0,0,1,0,0,1,0,1,0,1,1.37244589608524,0,0,0,0,0,3.38871774411751,0,0,2.02525592566951,0,1.60778733160879,0,1
"P032",4,14,"(4,14)",0.285714285714286,"low_disc|noisy|reversed|constant_one",6.41294089012687,38.8095406718576,6.41294089012687,38.8095406718576,0.165241349913145,16.5241349913145,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P033",7,14,"(7,14)",0.5,"very_easy|medium_easy|medium_hard|hard|low_disc|noisy|constant_one",15.021987388213,38.8095406718576,15.021987388213,38.8095406718576,0.387069445506374,38.7069445506374,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,0,0,1,1,0,0,1,1,0,0,1,1.37244589608524,0,2.28672846067894,0,0,3.16894172881322,3.38871774411751,0,0,2.02525592566951,1.77989763284857,0,0,1
"P034",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_2|medium_hard|hard|very_hard|constant_one",22.1917210313109,38.8095406718576,22.1917210313109,38.8095406718576,0.571810968311796,57.1810968311796,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,1,1,1,1,0,0,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,2.87234814663697,3.16894172881322,3.38871774411751,6.48508198086668,0,0,0,0,0,1
"P035",3,14,"(3,14)",0.214285714285714,"very_easy|reversed|constant_one",3.98023322769403,38.8095406718576,3.98023322769403,38.8095406718576,0.102558112226777,10.2558112226777,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,0,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P036",5,14,"(5,14)",0.357142857142857,"medium_easy|low_disc|noisy|reversed|constant_one",8.69966935080581,38.8095406718576,8.69966935080581,38.8095406718576,0.224163161949358,22.4163161949358,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,2.28672846067894,0,0,0,0,0,0,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P037",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|high_disc|low_disc|noisy|constant_one",21.7128330984234,38.8095406718576,21.7128330984234,38.8095406718576,0.559471530003658,55.9471530003658,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P038",3,14,"(3,14)",0.214285714285714,"very_easy|reversed|constant_one",3.98023322769403,38.8095406718576,3.98023322769403,38.8095406718576,0.102558112226777,10.2558112226777,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,0,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P039",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_2|high_disc|low_disc|noisy|constant_one",16.0547745367842,38.8095406718576,16.0547745367842,38.8095406718576,0.413681127342643,41.3681127342643,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,1,0,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,2.87234814663697,0,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P040",11,14,"(11,14)",0.785714285714286,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|high_disc|low_disc|noisy|reversed|constant_one",23.3206204300322,38.8095406718576,23.3206204300322,38.8095406718576,0.600899161039103,60.0899161039103,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,3.10064140075263,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P041",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|hard|very_hard|high_disc|constant_one",27.7814792648895,38.8095406718576,27.7814792648895,38.8095406718576,0.715841485983754,71.5841485983754,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,1,1,1,0,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,3.38871774411751,6.48508198086668,3.10064140075263,0,0,0,0,1
"P042",4,14,"(4,14)",0.285714285714286,"very_easy|easy|reversed|constant_one",5.5976903018064,38.8095406718576,5.5976903018064,38.8095406718576,0.144234902163259,14.4234902163259,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,1.61745707411237,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P043",4,14,"(4,14)",0.285714285714286,"very_easy|easy|reversed|constant_one",5.5976903018064,38.8095406718576,5.5976903018064,38.8095406718576,0.144234902163259,14.4234902163259,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,1.61745707411237,0,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P044",5,14,"(5,14)",0.357142857142857,"medium_easy|medium_1|low_disc|reversed|constant_one",9.40888855078317,38.8095406718576,9.40888855078317,38.8095406718576,0.24243751376336,24.243751376336,0,38.8095406718576,TRUE,"ok","ok","item_rest",0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2.28672846067894,2.48911683282593,0,0,0,0,0,2.02525592566951,0,1.60778733160879,0,1
"P045",6,14,"(6,14)",0.428571428571429,"very_easy|easy|medium_easy|noisy|reversed|constant_one",9.66431639533391,38.8095406718576,9.66431639533391,38.8095406718576,0.249019087266392,24.9019087266392,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,0,0,0,0,0,0,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,0,0,0,0,0,0,1.77989763284857,1.60778733160879,0,1
"P046",3,14,"(3,14)",0.214285714285714,"very_easy|easy|constant_one",3.98990297019761,38.8095406718576,3.98990297019761,38.8095406718576,0.102807271127814,10.2807271127814,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,0,0,0,0,0,0,0,0,0,0,1,1.37244589608524,1.61745707411237,0,0,0,0,0,0,0,0,0,0,0,1
"P047",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_1|high_disc|low_disc|noisy|constant_one",15.6715432229732,38.8095406718576,15.6715432229732,38.8095406718576,0.403806459743474,40.3806459743474,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,0,0,0,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,0,0,0,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P048",7,14,"(7,14)",0.5,"very_easy|easy|medium_1|medium_2|noisy|reversed|constant_one",12.7390529141179,38.8095406718576,12.7390529141179,38.8095406718576,0.328245392591195,32.8245392591195,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,1,1,0,0,0,0,0,1,1,0,1,1.37244589608524,1.61745707411237,0,2.48911683282593,2.87234814663697,0,0,0,0,0,1.77989763284857,1.60778733160879,0,1
"P049",8,14,"(8,14)",0.571428571428571,"very_easy|easy|medium_easy|medium_2|high_disc|noisy|reversed|constant_one",15.6373059427235,38.8095406718576,15.6373059427235,38.8095406718576,0.402924272537519,40.2924272537519,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,1,0,0,0,1,0,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,2.87234814663697,0,0,0,3.10064140075263,0,1.77989763284857,1.60778733160879,0,1
"P050",12,14,"(12,14)",0.857142857142857,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|hard|very_hard|high_disc|low_disc|noisy|constant_one",31.5866328234076,38.8095406718576,31.5866328234076,38.8095406718576,0.813888344891243,81.3888344891243,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,3.38871774411751,6.48508198086668,3.10064140075263,2.02525592566951,1.77989763284857,0,0,1
"P051",6,14,"(6,14)",0.428571428571429,"very_easy|easy|medium_1|medium_hard|reversed|constant_one",11.2557488634456,38.8095406718576,11.2557488634456,38.8095406718576,0.290025304824274,29.0025304824274,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,1,0,1,0,0,0,0,0,1,0,1,1.37244589608524,1.61745707411237,0,2.48911683282593,0,3.16894172881322,0,0,0,0,0,1.60778733160879,0,1
"P052",5,14,"(5,14)",0.357142857142857,"very_easy|easy|medium_easy|reversed|constant_one",7.88441876248533,38.8095406718576,7.88441876248533,38.8095406718576,0.203156714199471,20.3156714199471,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,0,0,0,0,0,0,0,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,0,0,0,0,0,0,0,1.60778733160879,0,1
"P053",4,14,"(4,14)",0.285714285714286,"very_easy|medium_easy|medium_1|constant_one",7.14829118959011,38.8095406718576,7.14829118959011,38.8095406718576,0.184189018108468,18.4189018108468,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,0,1,1,0,0,0,0,0,0,0,0,0,1,1.37244589608524,0,2.28672846067894,2.48911683282593,0,0,0,0,0,0,0,0,0,1
"P054",7,14,"(7,14)",0.5,"very_easy|easy|medium_easy|medium_1|medium_2|medium_hard|constant_one",14.8070381391527,38.8095406718576,14.8070381391527,38.8095406718576,0.381530878305134,38.1530878305134,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,1,0,0,0,0,0,0,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,3.16894172881322,0,0,0,0,0,0,0,1
"P055",7,14,"(7,14)",0.5,"very_easy|easy|medium_easy|medium_2|low_disc|reversed|constant_one",12.7820228347918,38.8095406718576,12.7820228347918,38.8095406718576,0.329352592520132,32.9352592520132,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,0,1,0,0,0,0,1,0,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,0,2.87234814663697,0,0,0,0,2.02525592566951,0,1.60778733160879,0,1
"P056",9,14,"(9,14)",0.642857142857143,"very_easy|easy|medium_easy|medium_1|medium_2|low_disc|noisy|reversed|constant_one",17.0510373004663,38.8095406718576,17.0510373004663,38.8095406718576,0.439351690467976,43.9351690467976,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,1,0,0,0,0,1,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,2.87234814663697,0,0,0,0,2.02525592566951,1.77989763284857,1.60778733160879,0,1
"P057",7,14,"(7,14)",0.5,"very_easy|easy|medium_1|medium_2|high_disc|noisy|constant_one",14.2319069832617,38.8095406718576,14.2319069832617,38.8095406718576,0.366711554346786,36.6711554346786,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,1,1,0,0,0,1,0,1,0,0,1,1.37244589608524,1.61745707411237,0,2.48911683282593,2.87234814663697,0,0,0,3.10064140075263,0,1.77989763284857,0,0,1
"P058",7,14,"(7,14)",0.5,"very_easy|easy|medium_easy|medium_1|noisy|reversed|constant_one",12.1534332281598,38.8095406718576,12.1534332281598,38.8095406718576,0.313155812147315,31.3155812147315,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,1,1,0,0,0,0,0,0,1,1,0,1,1.37244589608524,1.61745707411237,2.28672846067894,2.48911683282593,0,0,0,0,0,0,1.77989763284857,1.60778733160879,0,1
"P059",10,14,"(10,14)",0.714285714285714,"very_easy|easy|medium_1|medium_2|hard|very_hard|high_disc|low_disc|reversed|constant_one",25.9588523326756,38.8095406718576,25.9588523326756,38.8095406718576,0.668878113043463,66.8878113043463,0,38.8095406718576,TRUE,"ok","ok","item_rest",1,1,0,1,1,0,1,1,1,1,0,1,0,1,1.37244589608524,1.61745707411237,0,2.48911683282593,2.87234814663697,0,3.38871774411751,6.48508198086668,3.10064140075263,2.02525592566951,0,1.60778733160879,0,1
